timestamp,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1756630800000,108965.1,109065.0,108917.1,109002.5,493.531,1756631699999,53795815.25230,12788,296.108,32276760.34980,0
1756631700000,109002.5,109067.2,108841.7,108841.7,565.995,1756632599999,61678245.83300,13100,159.773,17414005.67800,0
1756632600000,108841.7,108867.6,108657.4,108660.4,877.043,1756633499999,95365445.48430,16440,348.882,37936989.33840,0
1756633500000,108660.3,108708.0,108404.7,108471.0,1721.946,1756634399999,186889880.78340,27953,785.987,85323209.80230,0
1756634400000,108471.1,108514.0,108313.3,108405.0,1676.321,1756635299999,181709145.19080,30041,769.052,83371868.33280,0
1756635300000,108404.9,108460.0,108310.0,108422.4,1093.058,1756636199999,118461798.35700,20350,662.324,71786585.52970,0
1756636200000,108422.3,108467.9,108338.0,108350.0,537.457,1756637099999,58261253.63150,14340,305.918,33163598.45580,0
1756637100000,108350.0,108595.0,108251.3,108526.6,1642.622,1756637999999,178105878.13850,24390,1034.718,112224152.39950,0
1756638000000,108526.6,108560.1,108470.2,108472.5,373.623,1756638899999,40543238.95590,13186,227.906,24731679.57500,0
1756638900000,108472.4,108513.8,108274.4,108486.3,907.778,1756639799999,98393720.69070,18330,493.403,53483638.09550,0
1756639800000,108486.3,108522.2,108326.5,108342.3,470.439,1756640699999,51006381.18150,12029,241.500,26181731.41820,0
1756640700000,108342.4,108442.1,108332.1,108350.0,761.091,1756641599999,82493947.88790,13946,352.030,38153197.02580,0
1756641600000,108350.0,108409.1,108284.2,108296.1,944.005,1756642499999,102286947.15010,17256,559.029,60574502.58490,0
1756642500000,108296.1,108394.2,108274.3,108362.7,584.9,1756643399999,63361656.85680,15126,387.857,42016703.73080,0
1756643400000,108362.6,108450.0,108336.5,108347.0,456.672,1756644299999,49491079.45930,14503,219.651,23805214.64070,0
1756644300000,108347.1,108400.0,108264.8,108279.4,615.949,1756645199999,66711023.64720,15357,299.323,32418511.04230,0
1756645200000,108279.5,108383.9,108155.0,108171.9,1140.483,1756646099999,123440130.62040,27598,546.578,59163100.31440,0
1756646100000,108171.8,108419.0,108153.8,108252.6,754.473,1756646999999,81687958.32430,19455,490.461,53106197.53940,0
1756647000000,108252.5,108345.7,108173.3,108342.0,476.874,1756647899999,51623168.95070,15132,279.775,30289535.16730,0
1756647900000,108342.0,108400.0,108271.6,108376.0,471.93,1756648799999,51133063.48590,14622,251.837,27285660.46310,0
1756648800000,108375.9,108440.0,108210.7,108283.1,649.401,1756649699999,70322226.46710,17546,352.104,38130560.95110,0
1756649700000,108283.0,108379.0,108233.5,108331.7,356.805,1756650599999,38642826.03280,12716,204.022,22097631.17370,0
1756650600000,108331.6,108475.3,108323.4,108402.1,608.646,1756651499999,65983846.02340,15450,411.841,44646636.90950,0
1756651500000,108402.1,108460.1,108388.9,108422.6,438.953,1756652399999,47588411.12880,10877,220.752,23933258.51490,0
1756652400000,108422.6,108660.3,108412.7,108417.2,1056.624,1756653299999,114700651.45800,26158,629.959,68382979.05740,0
1756653300000,108417.3,108532.0,108415.6,108514.5,505.966,1756654199999,54883648.19030,14225,242.878,26345543.67270,0
1756654200000,108514.6,108665.0,108429.9,108664.7,710.825,1756655099999,77160842.76040,17271,416.882,45255055.11520,0
1756655100000,108664.8,108808.5,108650.0,108758.2,1108.409,1756655999999,120519750.91580,22345,663.018,72090043.36290,0
1756656000000,108758.2,108822.8,108644.5,108744.4,1353.662,1756656899999,147194220.89980,19686,723.371,78653618.94820,0
1756656900000,108744.4,108765.7,108504.7,108633.4,1639.817,1756657799999,178123282.55900,20961,738.800,80237840.51670,0
1756657800000,108633.4,108838.1,108562.7,108820.6,755.067,1756658699999,82104613.54620,17138,483.524,52582758.07720,0
1756658700000,108820.7,108930.0,108783.6,108867.0,1222.41,1756659599999,133084371.52720,21395,479.073,52158607.59210,0
1756659600000,108867.0,108898.2,108830.0,108883.4,400.129,1756660499999,43560012.34790,10501,145.272,15814867.34700,0
1756660500000,108883.4,108921.7,108796.3,108904.3,387.587,1756661399999,42193006.95940,10933,194.679,21193671.81570,0
1756661400000,108904.4,108940.0,108806.1,108931.9,453.18,1756662299999,49349052.27310,11945,196.800,21430543.52260,0
1756662300000,108931.8,108948.1,108869.5,108945.0,398.056,1756663199999,43358508.82020,9285,114.778,12502314.35180,0
1756663200000,108945.0,108965.0,108873.0,108908.1,517.615,1756664099999,56376482.93190,11799,236.954,25808638.79620,0
1756664100000,108908.0,109089.7,108908.0,108954.1,683.717,1756664999999,74530210.02980,17117,364.780,39761582.48840,0
1756665000000,108954.1,109143.8,108939.8,109093.9,737.824,1756665899999,80466816.82780,14778,458.686,50023985.15530,0
1756665900000,109093.9,109196.5,109052.5,109089.0,576.986,1756666799999,62964252.03360,11303,334.874,36547445.15820,0
1756666800000,109089.0,109112.3,108908.9,108948.2,392.822,1756667699999,42823628.86700,11245,87.256,9512211.97270,0
1756667700000,108948.3,109021.9,108883.5,108922.5,294.134,1756668599999,32044334.20380,9407,104.029,11333375.87170,0
1756668600000,108922.6,109074.3,108922.5,109063.4,233.661,1756669499999,25466998.14240,7530,123.454,13455977.11580,0
1756669500000,109063.5,109063.5,108857.1,108877.2,434.434,1756670399999,47319288.12900,9945,223.032,24291709.46600,0
1756670400000,108877.3,109060.5,108821.8,108994.2,653.582,1756671299999,71203577.58360,12293,241.945,26357252.01460,0
1756671300000,108994.2,109027.2,108902.9,109013.7,370.214,1756672199999,40341964.61470,8098,139.752,15228574.02040,0
1756672200000,109013.7,109076.6,108915.9,108985.0,260.578,1756673099999,28403135.43270,7989,130.929,14270941.16900,0
1756673100000,108985.0,109079.3,108964.6,109079.3,178.722,1756673999999,19484504.59870,6572,122.665,13373359.24260,0
1756674000000,109079.2,109079.2,108896.3,108967.6,409.11,1756674899999,44581510.08720,10013,113.330,12348078.09420,0
1756674900000,108967.6,109022.9,108952.5,108973.5,416.902,1756675799999,45440140.16440,5731,271.160,29555283.84930,0
1756675800000,108973.5,109052.6,108953.3,109052.5,221.481,1756676699999,24140210.94670,6356,111.311,12132642.50790,0
1756676700000,109052.5,109061.7,108957.6,108986.4,183.275,1756677599999,19977677.99660,6294,81.818,8918443.65050,0
1756677600000,108986.5,109027.8,108820.0,109027.8,670.942,1756678499999,73071327.01170,19225,310.759,33845546.85380,0
1756678500000,109027.8,109192.3,109027.7,109126.0,505.257,1756679399999,55127966.56220,12233,234.412,25576517.13200,0
